Board Name,Niche,Site URL (link from board),Description (200-500 char),Primary Keywords,Launch Week
Furniture Finds,Home & Kitchen,/best/furniture,"Stylish, affordable Amazon furniture — sofas, coffee tables, bookshelves, desks, dining sets. From small apartments to family homes. Modern, mid-century, farmhouse picks. #affiliate","amazon furniture, modern sofa, coffee table, bookshelf, standing desk, dining table",3
Pet Supplies Pet Parents Love,All,/best/pet,"Pet beds, automatic feeders, grooming tools, toys, treats, training gear for dogs, cats, and small pets. Honest reviews of Amazon's top pet supplies. #affiliate","dog supplies, cat supplies, pet bed, automatic feeder, pet grooming, pet toys",3
Home Office Setup Ideas,Home & Kitchen,/best/office,"Standing desks, ergonomic chairs, monitor arms, desk lamps, organizers, webcams, and home office essentials. Build a productive workspace. #affiliate","home office, standing desk, ergonomic chair, monitor arm, desk setup, work from home",3
Travel Accessories,All,/best/travel,"Luggage, packing cubes, toiletry bags, neck pillows, portable chargers, travel adapters, and on-the-go essentials. Amazon's best travel picks for every trip. #affiliate","travel essentials, packing cubes, carry on luggage, travel pillow, portable charger, travel adapter",3
Outdoor & Camping Gear,All,/best/outdoor,"Tents, sleeping bags, camping stoves, hiking gear, coolers, hammocks. Amazon's top-rated outdoor and camping equipment for weekend warriors and serious adventurers. #affiliate","camping gear, hiking equipment, tent, sleeping bag, cooler, backpacking gear",3
Power Tools & DIY,Home & Kitchen,/best/power-tools,"Cordless drills, impact drivers, circular saws, tool sets, workbenches. DeWalt, Milwaukee, Makita, Ryobi — Amazon's best power tool picks for pros and weekend DIYers. #affiliate","power tools, cordless drill, impact driver, circular saw, dewalt, milwaukee tools",4
Smart Displays & Tablets,Tech & Gadgets,/best/tablets,"iPads, Galaxy Tabs, Kindle Fire, Echo Show, Google Nest Hub. Tablets and smart displays for entertainment, work, and home. Reviews of Amazon's top picks. #affiliate","best tablet, ipad, galaxy tab, echo show, kindle fire, smart display",4
Wearables & Smartwatches,Tech & Gadgets,/best/wearables,"Apple Watch, Garmin, Fitbit, Whoop, Samsung Galaxy Watch. Fitness trackers and smartwatches for health, sleep, and workouts. #affiliate","smartwatch, apple watch, fitbit, garmin, fitness tracker, wearables",4
Coffee & Tea Lovers,Home & Kitchen,/best/coffee,"Espresso machines, drip coffee makers, French presses, milk frothers, electric kettles, coffee grinders. From Nespresso to Breville to budget picks. #affiliate","espresso machine, coffee maker, french press, milk frother, electric kettle, coffee grinder",4
Anti-Aging & Skincare,Fashion & Beauty,/best/skincare,"Retinol, peptide serums, hyaluronic acid, vitamin C, eye creams, and anti-aging skincare from Amazon. Dermatologist-loved brands and viral cult favorites. #affiliate","retinol serum, peptide cream, hyaluronic acid, vitamin C serum, anti aging, eye cream",4
Gardening & Plant Parents,Home & Kitchen,/best/gardening,"Planters, grow lights, gardening tools, raised beds, seed kits, indoor plant care. From balcony gardens to backyard transformations. Top Amazon picks. #affiliate","gardening tools, raised garden bed, grow light, indoor plants, planter, seed starter kit",5
Robot Vacuums & Cleaning,Home & Kitchen,/best/cleaning,"Robot vacuums, cordless stick vacs, mops, steam cleaners, eco-friendly cleaning supplies. Roomba, Roborock, Shark, Dyson. #affiliate","robot vacuum, roomba, roborock, cordless vacuum, steam cleaner, cleaning supplies",5
Home Improvement DIY,Home & Kitchen,/best/home-improvement,"Paint supplies, smart locks, doorbell cameras, weatherstripping, ladder, hardware. Amazon's home improvement essentials. #affiliate","home improvement, smart lock, ring doorbell, paint supplies, hardware, diy projects",5
Drones for Beginners & Pros,Tech & Gadgets,/best/drones,"DJI Mavic, Mini, Avata, FPV drones, beginner camera drones. Amazon's top drone picks with sample footage and honest reviews. #affiliate","best drones, dji mavic, dji mini, fpv drone, camera drone, beginner drone",5
Streaming & TV Setups,Tech & Gadgets,/best/streaming,"Roku, Fire TV, Apple TV, Chromecast, streaming sticks, soundbars, smart TVs. Cord-cutter essentials. #affiliate","streaming device, roku, fire tv stick, apple tv, smart tv, soundbar",5
Sports Equipment,Health & Fitness,/best/sports,"Basketballs, soccer balls, golf clubs, tennis rackets, fishing gear, kayaks, bikes. Amazon's top-rated sports equipment for every season. #affiliate","sports equipment, golf clubs, fishing gear, kayak, mountain bike, sports gear",6
Baby & Kids Picks,All,/best/baby,"Strollers, car seats, baby monitors, diaper bags, toys, learning games. Amazon's must-haves for new parents and growing families. #affiliate","baby gear, stroller, car seat, baby monitor, diaper bag, toddler toys",6
Automotive Gear,All,/best/automotive,"Dash cams, jump starters, car vacuums, phone mounts, seat covers, floor mats, detailing kits. Amazon's top automotive accessories. #affiliate","car accessories, dash cam, jump starter, phone mount, car vacuum, detailing kit",6
Office Supplies & Stationery,Home & Kitchen,/best/office-supplies,"Notebooks, planners, pens, label makers, paper shredders, organization. Amazon's best office and study supplies. #affiliate","office supplies, planner, notebook, label maker, paper shredder, desk organizer",6
Music & Instruments,All,/best/music,"Guitars, keyboards, drum pads, MIDI controllers, microphones, audio interfaces. Amazon's best picks for musicians and producers. #affiliate","musical instruments, beginner guitar, midi controller, microphone, audio interface, drum pad",6
Health & Wellness,Health & Fitness,/best/health,"Vitamins, supplements, massagers, posture correctors, sleep aids, blood pressure monitors. Amazon's top health and wellness picks. #affiliate","health and wellness, vitamins, supplements, massager, posture corrector, sleep aid",7
Books Worth Reading,All,/best/books,"Bestselling books, fiction, non-fiction, self-help, memoirs, thrillers, romance. Kindle and paperback picks updated weekly. #affiliate","best books, bestseller, fiction, non fiction, self help, romance novels",7
Gaming Headsets & Mics,Tech & Gadgets,/best/gaming-audio,"Wireless gaming headsets, streaming mics, audio mixers. SteelSeries, HyperX, Logitech, Razer, Shure. Amazon's top picks. #affiliate","gaming headset, streaming microphone, hyperx, steelseries, razer, audio interface",7
Speakers & Soundbars,Tech & Gadgets,/best/speakers,"Bluetooth speakers, smart speakers, party speakers, soundbars, home theater. Sonos, JBL, Bose, Harman Kardon. #affiliate","bluetooth speaker, soundbar, sonos, jbl, party speaker, home theater",7
Monitors for Work & Play,Tech & Gadgets,/best/monitors,"4K monitors, ultrawides, gaming monitors, portable monitors. LG, Dell, Samsung, ASUS. Amazon's top-rated displays. #affiliate","4k monitor, ultrawide monitor, gaming monitor, portable monitor, samsung monitor",7
Desktops & Mini PCs,Tech & Gadgets,/best/desktops,"Mini PCs, all-in-ones, custom desktops. Beelink, Apple Mac mini, Intel NUC, prebuilts. #affiliate","mini pc, desktop computer, mac mini, beelink, intel nuc, prebuilt pc",8
Security Cameras & Alarms,Tech & Gadgets,/best/security,"Ring, Arlo, Eufy, Wyze, Blink. Indoor and outdoor security cameras, video doorbells, alarm systems. Amazon's top picks. #affiliate","security camera, ring doorbell, wyze cam, eufy, arlo, home security",8
Holiday Gift Guides,All,/guides/gifts,"Gift ideas under $25, $50, $100. Mother's Day, Father's Day, Valentine's, Christmas, birthdays. Curated by recipient and budget. #affiliate","gift ideas, gifts under 50, mothers day gifts, christmas gifts, gift guide, gifts for him",8
Aesthetic Room Decor,Home & Kitchen,/best/decor,"Wall art, throw pillows, candles, mirrors, rugs, lamps. Cozy aesthetic and modern minimalist room decor from Amazon. #affiliate","room decor, wall art, throw pillow, aesthetic decor, cozy room, minimalist decor",8
Small Apartment Hacks,Home & Kitchen,/best/small-space,"Space-saving furniture, vertical organizers, foldable items, multi-use products. Make a small apartment feel huge. #affiliate","small apartment, space saving, vertical organizer, foldable furniture, tiny home",8
